"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"484",1,1973,7,531,1,NA
"485",1,1970,5,873,1,NA
"486",2,1969,5,313,1,403
"487",1,1999,6,NA,1,NA
"488",2,1943,4,NA,1,NA
"489",1,1979,7,521,1,NA
"490",2,1983,7,521,1,NA
"491",1,2017,1,NA,1,NA
"492",1,1947,5,611,4,NA
"493",2,1948,4,NA,4,NA
"494",2,1980,6,285,1,365
"495",1,1937,4,NA,1,NA
"496",2,1937,4,NA,1,NA
"497",1,1937,5,NA,2,NA
"498",2,1943,4,NA,2,NA
"499",1,1936,8,NA,1,NA
"500",2,1939,7,NA,1,NA
"501",1,1969,4,799,1,NA
"502",2,1971,5,NA,1,NA
"503",2,2000,5,313,1,207
"504",2,2002,5,NA,1,NA
"505",2,1972,7,313,2,360
"506",1,1979,5,NA,2,NA
"507",2,2010,3,NA,2,NA
"508",1,2012,3,NA,2,NA
"509",2,1956,5,NA,1,NA
"510",1,1945,5,141,1,NA
"511",2,1948,3,NA,1,NA
"512",2,1954,3,521,2,120
"513",1,1974,5,521,1,710
"514",2,1974,6,442,1,NA
"515",2,2005,4,NA,1,NA
"516",1,1963,5,NA,1,NA
"517",2,1964,4,421,1,39
"518",2,1990,6,245,1,310
"519",1,1991,7,231,1,190
"520",2,1935,2,NA,1,NA
"521",1,1950,7,NA,1,NA
"522",2,1953,5,NA,1,NA
"523",2,1958,3,930,1,180
"524",1,1984,5,910,1,213
"525",1,1950,4,941,6,27
"526",1,1977,7,139,2,1083
"527",2,1979,7,NA,2,NA
"528",1,2010,3,NA,2,NA
"529",1,2014,1,NA,2,NA
"530",2,2015,1,NA,2,NA
"531",2,1979,7,313,1,430
"532",1,1980,7,313,1,559
"533",2,2014,1,NA,1,NA
"534",2,2014,1,NA,1,NA
"535",1,2016,1,NA,1,NA
"536",2,1969,7,510,2,38
"537",1,1970,6,312,2,695
"538",2,1946,3,NA,1,NA
"539",2,1943,3,941,7,27
"540",1,1917,2,NA,7,NA
"541",1,1932,3,NA,1,NA
"542",2,1938,3,NA,1,NA
